PersonID,Sex,Income,M,Y
1,0,85.1,9,6
2,1,64.6,12,4
3,0,97.6,6,5
4,1,72.8,9,9
5,1,51.1,11,6
6,0,86.9,7,4
7,1,86.3,12,5
8,1,84.6,8,6
9,1,80.7,11,4
10,0,76.6,5,3
11,1,58.1,11,7
12,0,50.8,6,5
13,1,48.6,11,4
14,1,39.2,15,2
15,0,53.8,6,3
16,1,96.2,16,2
17,0,47.9,9,0
18,0,46,13,4
19,0,83.4,6,6
20,1,57.5,9,5
21,1,67.6,6,2
22,1,59.1,16,2
23,1,58.7,10,4
24,1,101.1,12,4
25,1,53.2,9,5
26,1,105.5,5,2
27,1,77.5,7,7
28,1,63.7,10,8
29,0,66.5,5,0
30,0,71.4,8,4
31,1,44.9,5,0
32,1,50,10,4
33,1,69.1,14,8
34,1,73.4,16,0
35,0,61.6,9,1
36,0,87.7,7,5
37,1,45.3,5,1
38,0,90.2,6,4
39,0,38.7,10,0
40,0,39.4,13,5
41,0,90.8,7,2
42,0,51.5,7,3
43,0,65.4,7,0
44,0,55.8,4,0
45,0,60.2,6,2
46,0,71.6,6,3
47,0,48.9,6,3
48,0,79.3,9,1
49,0,53.4,5,2
50,1,70,12,10
