Loser,Winner
169,158
136,101
161,55
49,47
80,37
115,42
75,68
148,131
119,162
132,144
33,175
41,117
42,118
55,158
131,47
162,168
101,37
68,157
144,135
175,117
47,168
158,118
157,37
117,135
168,118
135,37
118,37
45,145
114,108
48,88
28,25
140,123
60,9
1,100
91,125
133,16
97,44
100,108
31,134
26,88
25,145
123,172
44,8
16,125
85,9
88,108
134,145
9,125
172,8
145,108
125,8
108,8
6,19
99,2
155,39
106,173
71,64
5,154
141,32
130,166
79,86
105,109
93,164
103,81
24,116
62,14
86,2
64,166
32,154
167,14
173,39
109,116
82,81
19,164
81,166
154,39
2,116
164,14
166,39
14,116
116,39
136,80
173,167
144,79
60,74
134,151
82,100
102,5
55,71
100,80
79,76
19,5
74,150
71,151
76,80
167,5
24,150
5,151
80,150
151,150
10,101
114,52
106,99
56,86
125,33
85,93
2,175
41,115
63,67
7,158
101,29
175,22
158,86
67,52
99,162
33,93
48,157
29,115
22,93
157,52
162,115
93,52
52,115
109,33
2,24
45,162
9,50
101,74
93,118
60,175
72,132
10,161
100,139
91,76
78,26
103,116
136,97
29,144
134,96
102,82
105,146
131,20
67,145
6,52
114,164
75,150
36,80
48,94
85,168
68,31
7,86
42,44
53,171
71,174
1,15
19,135
124,64
92,159
129,22
106,117
63,47
172,5
155,157
58,115
128,8
28,41
151,158
165,154
173,81
108,49
123,25
70,125
167,113
98,56
166,39
40,77
24,118
20,79
97,164
145,96
76,175
74,14
80,168
99,162
144,31
33,132
94,146
26,52
82,150
50,161
139,116
15,61
47,22
171,86
44,148
119,8
25,37
49,55
39,77
115,135
154,64
41,113
159,174
56,125
158,157
5,117
31,146
150,164
79,175
162,168
132,116
161,52
96,118
14,54
81,64
125,157
55,8
22,77
174,117
148,135
86,113
61,37
116,175
146,168
52,164
118,54
157,64
77,37
8,135
113,117
164,168
175,54
64,37
135,117
168,54
37,117
117,54
67,24
60,19
72,103
28,9
82,125
12,98
112,105
175,34
26,19
9,174
105,24
103,34
79,61
98,125
75,164
166,108
34,61
19,125
108,164
24,174
125,61
164,174
61,174
173,109
44,21
63,123
160,10
46,99
81,50
21,134
123,10
134,99
10,50
99,50
93,85
104,31
102,7
145,78
45,146
1,64
153,8
18,85
172,115
71,162
