PID,Player
1,Albot R.
2,Almagro N.
3,Altmaier D.
4,Anderson K.
5,Baghdatis M.
6,Bagnis F.
7,Basilashvili N.
8,Bautista Agut R.
9,Bedene A.
10,Bellucci T.
11,Bemelmans R.
12,Benneteau J.
13,Berankis R.
14,Berdych T.
15,Berlocq C.
16,Bhambri Y.
17,Bolelli S.
18,Brands D.
19,Brown D.
20,Bublik A.
21,Carballes Baena R.
22,Carreno Busta P.
23,Cecchinato M.
24,Chardy J.
25,Chung H.
26,Cilic M.
27,Copil M.
28,Coric B.
29,Cuevas P.
30,Daniel T.
31,Darcis S.
32,De Greef A.
33,De Minaur A.
34,De Schepper K.
35,Del Potro J.M.
36,Delbonis F.
37,Dimitrov G.
38,Djere L.
39,Djokovic N.
40,Dodig I.
41,Dolgopolov O.
42,Donaldson J.
43,Donskoy E.
44,Dutra Silva R.
45,Dzumhur D.
46,Ebden M.
47,Edmund K.
48,Elias G.
49,Escobedo E.
50,Estrella Burgos V.
51,Eubanks C.
52,Evans D.
53,Fabbiano T.
54,Federer R.
55,Ferrer D.
56,Fognini F.
57,Fratangelo B.
58,Fritz T.
59,Fucsovics M.
60,Garcia-Lopez G.
61,Gasquet R.
62,Giannessi A.
63,Giraldo S.
64,Goffin D.
65,Gojowczyk P.
66,Gombos N.
67,Granollers M.
68,Groth S.
69,Gulbis E.
70,Haas T.
71,Haase R.
72,Halys Q.
73,Hanfmann Y.
74,Harrison R.
75,Herbert P.H.
76,Isner J.
77,Istomin D.
78,Janowicz J.
79,Jaziri M.
80,Johnson S.
81,Karlovic I.
82,Khachanov K.
83,Kicker N.
84,King D.
85,Klizan M.
86,Kohlschreiber P.
87,Kokkinakis T.
88,Kovalik J.
89,Kozlov S.
90,Krajinovic F.
91,Kravchuk K.
92,Kukushkin M.
93,Kuznetsov An.
94,Kyrgios N.
95,Laaksonen H.
96,Lacko L.
97,Lajovic D.
98,Lopez F.
99,Lorenzi P.
100,Lu Y.H.
101,Mahut N.
102,Mannarino A.
103,Marchenko I.
104,Marterer M.
105,Mathieu P.H.
106,Mayer F.
107,Mayer L.
108,Medvedev D.
109,Melzer G.
110,Menendez-Maceiras A.
111,Millman J.
112,Millot V.
113,Monfils G.
114,Monteiro T.
115,Muller G.
116,Murray A.
117,Nadal R.
118,Nishikori K.
119,Nishioka Y.
120,Norrie C.
121,Novikov D.
122,Ofner S.
123,Olivo R.
124,Opelka R.
125,Paire B.
126,Paul T.
127,Pavlasek A.
128,Pella G.
129,Polansky P.
130,Pospisil V.
131,Pouille L.
132,Querrey S.
133,Ramanathan R.
134,Ramos-Vinolas A.
135,Raonic M.
136,Robert S.
137,Robredo T.
138,Rosol L.
139,Rublev A.
140,Ruud C.
141,Safwat M.
142,Sandgren T.
143,Santillan A.
144,Schwartzman D.
145,Sela D.
146,Seppi A.
147,Shapovalov D.
148,Simon G.
149,Smyczek T.
150,Sock J.
151,Sousa J.
152,Stakhovsky S.
153,Stebe C.M.
154,Stepanek R.
155,Struff J.L.
156,Sugita Y.
157,Thiem D.
158,Thompson J.
159,Tiafoe F.
160,Tipsarevic J.
161,Tomic B.
162,Troicki V.
163,Tsitsipas S.
164,Tsonga J.W.
165,Tursunov D.
166,Verdasco F.
167,Vesely J.
168,Wawrinka S.
169,Ymer E.
170,Ymer M.
171,Young D.
172,Youzhny M.
173,Zeballos H.
174,Zverev A.
175,Zverev M.
