Time,Y
1,-0.38
2,-0.18
3,-0.31
4,-0.02
5,-0.02
6,0.03
7,0.11
8,0.06
9,0.03
10,0.16
11,2.33
12,2.2
13,2.11
14,1.93
15,1.76
16,1.8
17,1.53
18,1.73
19,1.57
20,1.78
21,1.57
22,1.42
23,1.61
24,1.56
25,1.56
26,1.45
27,1.57
28,1.46
29,1.36
30,1.53
31,1.55
32,1.41
33,1.5
34,1.53
35,1.61
36,1.63
37,1.51
38,1.8
39,1.72
40,1.45
41,1.46
42,1.47
43,1.62
44,1.58
45,1.84
46,1.63
47,1.68
48,1.73
49,1.63
50,1.95
51,1.75
52,1.89
53,1.93
54,1.94
55,1.85
56,1.68
57,1.96
58,1.79
59,1.81
60,2.26
61,2.13
62,2.23
63,2.13
64,2.09
65,2.27
66,2.22
67,2.03
68,2.2
69,2.31
70,2.34
71,4.43
72,4.07
73,4.14
74,4.06
75,4.1
76,3.68
77,3.74
78,3.83
79,3.69
80,3.68
81,3.36
82,3.46
83,3.2
84,3.26
85,3.47
86,3.02
87,3.25
88,3.22
89,3.14
90,3.07
91,3.38
92,2.99
93,3.03
94,3.06
95,3.09
96,3.23
97,3.05
98,3.17
99,3.15
100,2.99
101,3.09
102,3.22
103,2.85
104,3.11
105,2.89
106,3.1
107,3
108,2.95
109,2.83
110,3
111,2.86
112,3.17
113,3.16
114,2.84
115,2.8
116,3.02
117,2.9
118,2.78
119,2.87
120,2.91
121,2.78
122,2.81
123,2.91
124,3
125,3.16
126,2.89
127,2.69
128,2.88
129,2.93
130,3.1
131,2.68
132,2.91
133,2.92
134,2.89
135,3.06
136,2.91
137,2.73
138,2.87
139,2.98
140,3.03
141,3.05
142,2.84
143,2.82
144,3
145,2.91
146,2.74
147,2.78
148,2.71
149,2.77
150,2.71
151,2.72
152,2.86
153,2.78
154,2.8
155,2.8
156,2.77
157,2.71
158,2.83
159,2.64
160,2.68
161,2.62
162,2.69
163,2.72
164,2.76
165,2.65
166,2.61
167,2.44
168,2.63
169,2.45
170,2.63
171,2.5
172,2.56
173,2.38
174,2.54
175,2.55
176,2.54
177,2.44
178,2.57
179,2.66
180,2.5
181,2.44
182,2.44
183,2.43
184,2.35
185,2.5
186,2.39
187,2.31
188,2.09
189,2.33
190,2.1
191,2.02
192,2.11
193,2.21
194,2.2
195,2.06
196,2.15
197,2.02
198,1.99
199,1.9
200,1.83
