Group,PID,Time,Y
1,1,0,0.071
1,2,0,0.445
1,3,0,0.225
1,4,0,0.442
1,5,0,-0.124
1,6,0,0.107
1,7,0,-0.076
1,8,0,0.215
1,9,0,0.039
1,10,0,0.166
1,11,0,0.471
1,12,0,0.775
1,13,0,0.389
1,14,0,0.123
1,15,0,0.543
1,16,0,-0.519
1,17,0,0.605
1,18,0,0.691
1,19,0,-0.201
1,20,0,0.412
1,21,0,0.152
1,22,0,0.556
1,23,0,0.463
1,24,0,-0.076
1,25,0,0.432
1,26,0,0.156
1,27,0,0.466
1,28,0,0.162
1,29,0,0.101
1,30,0,-0.474
1,31,0,0.406
1,32,0,-0.031
1,33,0,0.301
1,34,0,0.309
1,35,0,0.498
1,36,0,0.861
1,37,0,0.367
1,38,0,-0.001
1,39,0,-0.182
1,40,0,0.276
1,41,0,0.02
1,42,0,0.398
1,43,0,-0.115
1,44,0,0.022
1,45,0,0.623
1,46,0,0.49
1,47,0,0.314
1,48,0,0.057
1,49,0,0.49
1,50,0,0.16
2,51,0,-0.208
2,52,0,0.418
2,53,0,0.182
2,54,0,0.769
2,55,0,0.058
2,56,0,0.154
2,57,0,0.676
2,58,0,0.214
2,59,0,0.287
2,60,0,0.281
2,61,0,0.307
2,62,0,0.014
2,63,0,0.017
2,64,0,-0.104
2,65,0,0.191
2,66,0,0.33
2,67,0,0.462
2,68,0,0.356
2,69,0,0.874
2,70,0,0.105
1,1,1,0.555
1,2,1,0.483
1,3,1,0.764
1,4,1,0.22
1,5,1,0.328
1,6,1,0.903
1,7,1,0.275
1,8,1,0.562
1,9,1,0.749
1,10,1,0.124
1,11,1,0.81
1,12,1,0.581
1,13,1,0.802
1,14,1,0.303
1,15,1,0.501
1,16,1,0.894
1,17,1,0.483
1,18,1,0.291
1,19,1,0.493
1,20,1,-0.129
1,21,1,0.156
1,22,1,0.978
1,23,1,0.543
1,24,1,0.382
1,25,1,1.107
1,26,1,0.951
1,27,1,0.17
1,28,1,0.423
1,29,1,0.063
1,30,1,0.674
1,31,1,0.266
1,32,1,0.096
1,33,1,0.166
1,34,1,0.747
1,35,1,-0.013
1,36,1,-0.121
1,37,1,0.92
1,38,1,0.58
1,39,1,0.546
1,40,1,0.094
1,41,1,0.494
1,42,1,0.539
1,43,1,0.799
1,44,1,0.431
1,45,1,0.312
1,46,1,0.458
1,47,1,0.621
1,48,1,0.35
1,49,1,0.152
1,50,1,0.753
2,51,1,1.077
2,52,1,0.617
2,53,1,0.113
2,54,1,0.207
2,55,1,0.634
2,56,1,0.72
2,57,1,0.869
2,58,1,0.382
2,59,1,0.75
2,60,1,0.827
2,61,1,-0.476
2,62,1,1.061
2,63,1,0.635
2,64,1,0.561
2,65,1,1
2,66,1,0.419
2,67,1,0.846
2,68,1,0.622
2,69,1,0.165
2,70,1,0.256
1,1,2,0.456
1,2,2,0.66
1,3,2,0.827
1,4,2,0.331
1,5,2,0.34
1,6,2,0.643
1,7,2,1.333
1,8,2,1.4
1,9,2,0.345
1,10,2,0.9
1,11,2,0.774
1,12,2,0.58
1,13,2,0.59
1,14,2,0.696
1,15,2,0.601
1,16,2,0.516
1,17,2,0.068
1,18,2,0.591
1,19,2,0.885
1,20,2,0.406
1,21,2,0.552
1,22,2,0.295
1,23,2,0.349
1,24,2,1.172
1,25,2,0.118
1,26,2,0.866
1,27,2,0.921
1,28,2,0.725
1,29,2,0.879
1,30,2,0.904
1,31,2,1.23
1,32,2,1.017
1,33,2,0.605
1,34,2,0.641
1,35,2,0.208
1,36,2,1.624
1,37,2,0.69
1,38,2,0.774
1,39,2,1.239
1,40,2,0.597
