Year,Loser_PID,Winner_PID,Loser_Index,Winner_Index
2000,72,117,742,1188
2000,14,137,141,1409
2000,381,264,4048,2786
2000,125,117,1262,1188
2000,137,163,1409,1691
2000,163,117,1691,1188
2000,177,120,1843,1209
2000,120,182,1209,1891
2000,117,182,1188,1891
2000,319,31,3383,317
2000,31,174,317,1819
2000,423,355,4471,3770
2000,90,155,935,1611
2000,174,155,1819,1611
2000,301,24,3211,246
2000,108,113,1104,1153
2000,259,262,2741,2771
2000,325,279,3435,2967
2000,53,356,564,3778
2000,43,412,466,4367
2000,142,113,1472,1153
2000,262,279,2771,2967
2000,412,356,4367,3778
2000,382,361,4059,3818
2000,361,208,3818,2166
2000,24,356,246,3778
2000,279,362,2967,3824
2000,208,356,2166,3778
2000,113,362,1153,3824
2000,362,356,3824,3778
2000,174,31,1819,317
2000,125,128,1262,1307
2000,358,142,3798,1472
2000,430,197,4556,2052
2000,41,301,443,3211
2000,421,343,4454,3664
2000,191,361,1999,3818
2000,264,128,2786,1307
2000,301,142,3211,1472
2000,412,343,4367,3664
2000,31,361,317,3818
2000,361,142,3818,1472
2000,259,12,2741,126
2000,436,72,4623,742
2000,163,182,1691,1891
2000,113,238,1153,2487
2000,351,244,3742,2545
2000,12,76,126,784
2000,72,226,742,2356
2000,219,238,2283,2487
2000,265,244,2808,2545
2000,226,244,2356,2545
2000,76,182,784,1891
2000,325,2,3435,12
2000,412,72,4367,742
2000,358,76,3798,784
2000,307,113,3266,1153
2000,24,126,246,1284
2000,106,128,1088,1307
2000,359,167,3805,1740
2000,155,177,1611,1843
2000,154,182,1603,1891
2000,56,208,589,2166
2000,142,245,1472,2558
2000,183,301,1908,3211
2000,303,316,3229,3353
2000,228,320,2374,3389
2000,77,337,790,3587
2000,90,343,935,3664
2000,43,361,466,3818
2000,262,362,2771,3824
2000,226,383,2356,4064
2000,431,414,4563,4382
2000,259,436,2741,4623
2000,361,2,3818,12
2000,414,41,4382,443
2000,238,72,2487,742
2000,167,113,1740,1153
2000,197,126,2052,1284
2000,362,177,3824,1843
2000,76,182,784,1891
2000,31,208,317,2166
2000,108,279,1104,2967
2000,372,316,3944,3353
2000,265,421,2808,4454
2000,436,2,4623,12
2000,421,12,4454,126
2000,125,72,1262,742
2000,128,113,1307,1153
2000,423,120,4471,1209
2000,163,177,1691,1843
2000,279,337,2967,3587
2000,316,2,3353,12
2000,120,12,1209,126
2000,72,113,742,1153
2000,126,208,1284,2166
2000,12,2,126,12
2000,362,12,3824,126
2000,361,43,3818,466
2000,53,208,564,2166
2000,262,219,2771,2283
2000,323,311,3417,3295
2000,219,77,2283,790
2000,43,113,466,1153
2000,238,128,2487,1307
2000,311,155,3295,1611
2000,264,208,2786,2166
2000,12,301,126,3211
2000,113,77,1153,790
2000,259,128,2741,1307
2000,155,208,1611,2166
2000,77,208,790,2166
2000,128,208,1307,2166
2000,320,117,3389,1188
2000,108,125,1104,1262
2000,97,163,997,1691
2000,359,191,3805,1999
2000,24,197,246,2052
2000,14,343,141,3664
2000,431,356,4563,3778
2000,351,423,3742,4471
2000,197,125,2052,1262
2000,117,191,1188,1999
2000,72,343,742,3664
2000,244,125,2545,1262
2000,423,163,4471,1691
2000,191,343,1999,3664
2000,356,125,3778,1262
2000,163,343,1691,3664
2000,125,343,1262,3664
2000,352,126,3752,1284
2000,137,147,1409,1522
2000,42,154,452,1603
