Year,Month,Day,Wday,Ho,BHo,Weather,Event_fl,Event_n,Y
2016,1,1,5,1,0,1,0,0,39.04
2016,1,2,6,0,0,1,1,7800,39.73
2016,1,3,7,0,0,1,0,0,46.83
2016,1,4,1,0,0,2,1,19400,73.84
2016,1,5,2,0,0,1,1,32000,92.6
2016,1,6,3,0,0,3,0,0,73.35
2016,1,7,4,0,0,2,0,0,81.46
2016,1,8,5,0,0,1,1,3900,88.66
2016,1,9,6,0,0,1,0,0,57.16
2016,1,10,7,0,0,1,0,0,57.99
2016,1,11,1,1,0,1,1,21300,65.67
2016,1,12,2,0,0,1,0,0,58.08
2016,1,13,3,0,0,1,1,22400,73.58
2016,1,14,4,0,0,1,0,0,77.26
2016,1,15,5,0,0,1,0,0,80.19
2016,1,16,6,0,0,2,1,11500,62.05
2016,1,17,7,0,0,1,0,0,50.64
2016,1,18,1,0,0,2,0,0,96.84
2016,1,19,2,0,0,5,0,0,86.7
2016,1,20,3,0,0,1,1,11700,82.06
2016,1,21,4,0,0,1,1,11500,77.74
2016,1,22,5,0,0,1,1,9400,80.56
2016,1,23,6,0,0,5,1,12200,58.33
2016,1,24,7,0,0,1,1,8800,51.13
2016,1,25,1,0,0,5,1,10100,83.94
2016,1,26,2,0,0,1,1,17000,71.85
2016,1,27,3,0,0,1,0,0,55.44
2016,1,28,4,0,0,1,0,0,67.82
2016,1,29,5,0,0,1,0,0,71.53
2016,1,30,6,0,0,1,0,0,40.44
2016,1,31,7,0,0,1,1,29600,76.47
2016,2,1,1,0,0,2,1,15300,97.69
2016,2,2,2,0,0,1,1,11900,87.49
2016,2,3,3,0,0,1,1,9300,76.98
2016,2,4,4,0,0,1,0,0,72.61
2016,2,5,5,0,0,5,0,0,99.67
2016,2,6,6,0,0,1,1,9800,67.34
2016,2,7,7,0,0,5,0,0,85.6
2016,2,8,1,0,0,1,0,0,85.79
2016,2,9,2,0,0,1,0,0,74.47
2016,2,10,3,0,1,1,0,0,78.43
2016,2,11,4,1,0,1,0,0,43.36
2016,2,12,5,0,0,1,0,0,69.5
2016,2,13,6,0,0,1,0,0,44.37
2016,2,14,7,0,0,3,0,0,47.71
2016,2,15,1,0,0,4,0,0,90.22
2016,2,16,2,0,0,2,0,0,88.85
2016,2,17,3,0,0,1,0,0,75.6
2016,2,18,4,0,0,1,0,0,79.79
2016,2,19,5,0,0,3,1,73000,108.92
2016,2,20,6,0,0,1,0,0,49.05
2016,2,21,7,0,0,1,0,0,61.2
2016,2,22,1,0,0,1,1,17800,95.83
2016,2,23,2,0,0,2,0,0,71.41
2016,2,24,3,0,0,1,0,0,60.42
2016,2,25,4,0,0,1,0,0,72.77
2016,2,26,5,0,0,1,0,0,81.85
2016,2,27,6,0,0,1,1,12100,71.46
2016,2,28,7,0,0,1,1,12500,63.21
2016,2,29,1,0,0,1,0,0,71.41
2016,3,1,2,0,0,2,1,21700,84.42
2016,3,2,3,0,0,3,0,0,71.55
2016,3,3,4,0,0,1,0,0,69.05
2016,3,4,5,0,0,3,0,0,87.03
2016,3,5,6,0,0,1,1,10700,54.67
2016,3,6,7,0,0,4,0,0,63.8
2016,3,7,1,0,0,2,1,6700,72.98
2016,3,8,2,0,0,1,1,23400,79.99
2016,3,9,3,0,0,1,1,8700,59.91
2016,3,10,4,0,0,1,0,0,74
2016,3,11,5,0,0,1,1,16200,99.11
2016,3,12,6,0,0,1,1,9200,67.4
2016,3,13,7,0,0,3,1,32400,93.98
2016,3,14,1,0,0,1,0,0,83.25
2016,3,15,2,0,0,5,0,0,82.49
2016,3,16,3,0,0,3,0,0,62.03
2016,3,17,4,0,0,3,0,0,66.28
2016,3,18,5,0,0,1,1,12200,76.27
2016,3,19,6,0,0,1,0,0,53.95
2016,3,20,7,0,0,1,0,0,54.13
2016,3,21,1,1,0,1,0,0,48.96
2016,3,22,2,0,0,3,1,10600,67.06
2016,3,23,3,0,0,3,0,0,61.46
2016,3,24,4,0,0,3,1,12000,85.96
2016,3,25,5,0,0,1,0,0,77.21
2016,3,26,6,0,0,1,0,0,50.14
2016,3,27,7,0,0,2,1,6000,61.49
2016,3,28,1,0,0,2,1,8000,76.33
2016,3,29,2,0,0,1,1,4300,76.06
2016,3,30,3,0,0,1,0,0,63.23
2016,3,31,4,0,0,1,0,0,68.77
2016,4,1,5,0,0,1,1,7200,74.18
2016,4,2,6,0,0,2,0,0,57.87
2016,4,3,7,0,0,1,1,13600,72.32
2016,4,4,1,0,0,1,0,0,84.2
2016,4,5,2,0,0,2,0,0,67.66
2016,4,6,3,0,0,1,1,12300,68.4
2016,4,7,4,0,0,3,0,0,72.9
2016,4,8,5,0,0,3,0,0,75.87
2016,4,9,6,0,0,3,0,0,57.31
2016,4,10,7,0,0,2,0,0,60.48
2016,4,11,1,0,0,3,0,0,89.62
2016,4,12,2,0,0,1,0,0,59.89
2016,4,13,3,0,0,1,1,40100,77.62
2016,4,14,4,0,0,1,0,0,67.06
2016,4,15,5,0,0,3,1,8500,71.59
2016,4,16,6,0,0,3,1,9700,48
2016,4,17,7,0,0,1,1,13800,50.23
2016,4,18,1,0,0,3,0,0,70.31
2016,4,19,2,0,0,2,0,0,58.67
2016,4,20,3,0,0,3,1,8900,61.01
2016,4,21,4,0,0,1,0,0,61.43
2016,4,22,5,0,0,2,0,0,85.6
2016,4,23,6,0,0,3,1,9000,54.57
2016,4,24,7,0,0,1,1,8300,54.83
2016,4,25,1,0,0,1,0,0,73.95
2016,4,26,2,0,0,2,0,0,64.82
2016,4,27,3,0,0,1,1,7600,57.62
2016,4,28,4,0,1,1,0,0,77.13
2016,4,29,5,1,0,1,0,0,56.75
2016,4,30,6,0,0,1,1,11800,49.77
2016,5,1,7,0,0,1,0,0,48.49
2016,5,2,1,0,1,1,0,0,64.64
2016,5,3,2,1,0,1,0,0,44.53
2016,5,4,3,1,0,2,0,0,36.7
2016,5,5,4,1,0,4,1,12000,73.86
2016,5,6,5,0,0,1,0,0,73.92
2016,5,7,6,0,0,1,0,0,45.35
2016,5,8,7,0,0,3,0,0,66.09
2016,5,9,1,0,0,1,1,5400,80.65
2016,5,10,2,0,0,1,1,11400,81.02
2016,5,11,3,0,0,1,1,8300,61.96
2016,5,12,4,0,0,1,1,8700,70.35
2016,5,13,5,0,0,1,1,14800,81.96
2016,5,14,6,0,0,2,0,0,47.06
2016,5,15,7,0,0,3,1,23200,80.68
2016,5,16,1,0,0,1,1,45400,101.88
2016,5,17,2,0,0,4,1,10200,68.94
2016,5,18,3,0,0,1,1,44200,78.8
2016,5,19,4,0,0,1,0,0,60.9
2016,5,20,5,0,0,1,0,0,84.86
2016,5,21,6,0,0,1,0,0,45.28
2016,5,22,7,0,0,3,0,0,67.15
2016,5,23,1,0,0,1,0,0,73.53
2016,5,24,2,0,0,1,1,8000,67.36
2016,5,25,3,0,0,2,0,0,57.36
2016,5,26,4,0,0,2,0,0,60.29
2016,5,27,5,0,0,3,0,0,63.38
2016,5,28,6,0,0,2,0,0,35.89
2016,5,29,7,0,0,1,1,24600,67.98
2016,5,30,1,0,0,1,1,79300,99.79
2016,5,31,2,0,0,3,0,0,83.84
2016,6,1,3,0,0,1,0,0,69.55
2016,6,2,4,0,0,3,0,0,88.05
2016,6,3,5,0,0,3,0,0,96.28
2016,6,4,6,0,0,3,0,0,56.59
2016,6,5,7,0,0,1,0,0,51.64
2016,6,6,1,0,0,2,0,0,61.06
2016,6,7,2,0,0,1,0,0,54.87
2016,6,8,3,0,0,2,0,0,52.31
2016,6,9,4,0,0,3,0,0,76.81
2016,6,10,5,0,0,2,0,0,73.33
2016,6,11,6,0,0,3,1,16000,75.04
2016,6,12,7,0,0,4,0,0,65.53
2016,6,13,1,0,0,1,0,0,79.16
2016,6,14,2,0,0,2,0,0,71.54
