X,Y
1,-0.17
2,-0.16
3,-0.07
4,-0.1
5,-0.11
6,-0.08
7,-0.04
8,-0.08
9,-0.03
10,-0.1
11,-0.1
12,-0.11
13,-0.09
14,-0.08
15,-0.08
16,-0.14
17,-0.14
18,-0.16
19,-0.08
20,-0.14
21,-0.1
22,-0.11
23,-0.07
24,-0.12
25,-0.08
26,-0.06
27,-0.05
28,-0.06
29,0
30,0.06
31,0.02
32,0.04
33,0.01
34,0.04
35,0.03
36,0.09
37,0.03
38,0.02
39,-0.04
40,0
41,-0.09
42,-0.09
43,-0.06
44,0
45,-0.03
46,-0.07
47,-0.03
48,-0.09
49,-0.08
50,-0.11
51,-0.12
52,-0.01
53,0.04
54,-0.01
55,0.1
56,0.09
57,0.09
58,0.09
59,0.08
60,0.02
61,0.03
62,2.09
63,1.95
64,1.82
65,1.63
66,1.48
67,1.38
68,1.2
69,1.19
70,1.05
71,1.06
72,0.91
73,0.78
74,0.79
75,0.73
76,0.67
77,0.59
78,0.56
79,0.49
80,0.44
81,0.44
82,0.42
83,0.33
84,0.35
85,0.36
86,0.38
87,0.37
88,0.33
89,0.37
90,0.29
91,0.14
92,0.14
93,0.1
94,0.16
95,0.1
96,0.17
97,0.08
98,0.03
99,0.06
100,0.02
101,0.13
102,0.02
103,0.08
104,0.1
105,0.04
106,-0.01
107,-0.1
108,-0.06
109,-0.11
110,-0.09
111,0.04
112,0.01
113,0.03
114,0
115,-0.03
116,0.02
117,-0.01
118,-0.11
119,-0.04
120,0.02
121,0.05
122,2.07
123,1.85
124,1.77
125,1.66
126,1.58
127,1.39
128,1.34
129,1.28
130,1.12
131,1.07
132,0.9
133,0.88
134,0.75
135,0.72
136,0.73
137,0.53
138,0.54
139,0.53
140,0.48
141,0.47
142,0.52
143,0.36
144,0.32
145,0.3
146,0.28
147,0.35
148,0.27
149,0.3
150,0.3
151,0.24
152,0.24
153,0.26
154,0.09
155,0.17
156,0.07
157,0.15
158,0.07
159,0.05
160,-0.01
161,0.05
162,-0.01
163,0.09
164,0.05
165,-0.06
166,-0.08
167,-0.02
168,-0.04
169,-0.11
170,-0.07
171,-0.03
172,-0.1
173,-0.08
174,-0.06
175,-0.02
176,0.02
177,-0.06
178,-0.12
179,-0.06
180,-0.08
181,-0.06
182,-0.21
183,-0.14
184,-0.1
185,-0.11
186,-0.07
187,-0.13
188,-0.15
189,-0.07
190,-0.05
191,-0.03
192,-0.03
193,-0.08
194,-0.08
195,-0.01
196,-0.03
197,-0.11
198,-0.12
199,-0.13
200,-0.19
