X,Y
0,0.37
0,0.31
0,0.27
0,0.28
0,0.5
0,0.4
0,0.44
0,0.35
0,0.51
0,0.48
0,0.29
0.01,0.27
0.01,0.55
0.01,0.5
0.01,0.49
0.01,0.47
0.01,0.41
0.01,0.35
0.01,0.51
0.01,0.56
0.01,0.24
0.01,0.63
0.01,0.6
0.01,0.64
0.01,0.34
0.01,0.46
0.01,0.62
0.01,0.66
0.01,0.53
0.01,0.6
0.01,0.45
0.01,0.44
0.01,0.72
0.01,0.37
0.01,0.6
0.02,0.53
0.02,0.47
0.02,0.62
0.02,0.66
0.02,0.6
0.02,0.57
0.02,0.47
0.02,0.58
0.02,0.66
0.02,0.61
0.02,0.52
0.02,0.7
0.02,0.74
0.02,0.92
0.02,0.59
0.02,0.68
0.02,0.59
0.02,0.63
0.03,0.81
0.03,0.52
0.03,0.57
0.03,0.72
0.03,0.85
0.03,0.97
0.03,0.81
0.03,0.81
0.03,0.75
0.03,0.68
0.03,0.81
0.03,0.83
0.03,0.86
0.03,0.6
0.03,0.8
0.03,0.72
0.03,0.79
0.03,0.73
0.04,0.86
0.04,0.7
0.04,0.95
0.04,0.71
0.04,0.82
0.04,0.93
0.04,0.93
0.04,0.8
0.04,0.93
0.04,0.75
0.04,0.93
0.04,1.02
0.04,0.93
0.04,0.84
0.04,0.91
0.04,0.87
0.04,1.02
0.04,0.9
0.04,0.86
0.04,0.84
0.04,0.81
0.04,0.93
0.05,0.9
0.05,1.05
0.05,1.11
0.05,0.94
0.05,1.04
0.05,0.98
0.05,0.92
0.05,1.08
0.05,1
0.05,1.04
0.05,0.95
0.05,0.96
0.05,1.09
0.05,1.07
0.05,1.13
0.05,1.01
0.05,0.97
0.05,1.05
0.05,0.95
0.05,1.05
0.06,1.06
0.06,1.23
0.06,0.85
0.06,1.02
0.06,0.91
0.06,1.02
0.06,1.08
0.06,1.16
0.06,0.97
0.06,0.9
0.06,1.21
0.06,0.85
0.06,1.22
0.06,1.12
0.06,1.21
0.06,1.21
0.06,1
0.06,1.09
0.06,1.2
0.06,1.12
0.06,1.29
0.06,1.16
0.07,1.18
0.07,1.12
0.07,1.09
0.07,1.07
0.07,1.01
0.07,1.17
0.07,1.21
0.07,1.12
0.07,1.16
0.07,1.16
0.07,1.27
0.07,1.21
0.07,1.25
0.07,1.09
0.07,1.3
0.07,1.22
0.07,1.03
0.07,1.07
0.07,1.16
0.07,1.2
0.07,1.42
0.07,1.22
0.07,1.27
0.07,1.3
0.07,1.22
0.08,1.36
0.08,1.48
0.08,1.26
0.08,1.4
0.08,1.22
0.08,1.07
0.08,1.15
0.08,1.2
0.08,1.24
0.08,1.44
0.08,1.2
0.08,1.4
0.08,1.39
0.08,1.39
0.08,1.14
0.08,1.2
0.08,1.29
0.08,1.23
0.08,1.27
0.08,1.2
0.08,1.27
0.08,1.24
0.08,1.21
0.08,1.25
0.08,1.34
0.08,1.48
0.08,1.2
0.09,1.27
0.09,1.31
0.09,1.36
0.09,1.33
0.09,1.28
0.09,1.26
0.09,1.31
0.09,1.52
0.09,1.48
0.09,1.31
0.09,1.28
0.09,1.52
0.09,1.39
0.09,1.48
0.09,1.41
0.09,1.33
0.1,1.37
0.1,1.46
0.1,1.32
0.1,1.25
0.1,1.38
0.1,1.3
0.1,1.34
0.1,1.37
0.1,1.5
0.1,1.27
0.1,1.33
0.1,1.38
0.1,1.33
0.1,1.36
0.1,1.29
0.1,1.46
0.1,1.45
0.11,1.32
0.11,1.42
0.11,1.47
0.11,1.33
